POS,EFACTOR,ONE,TWO,THREE,FOUR,FIVE
1B,0,0,0.585167625,2.726881133,6.425140523,11.6799458
1B,1,0.020027362,0.808878671,3.161204247,7.041279607,12.44910475
1B,2,0.080109448,1.068638968,3.627571141,7.685456998,13.24229654
1B,3,0.195185587,1.404811625,4.191768699,8.448883359,14.17615561
1B,4,0.340356897,1.741152224,4.726206972,9.152623207,15.02040093
1B,5,0.475785167,2.017580436,5.148840778,9.69982662,15.67053796
1B,6,0.692379111,2.419313225,5.742678247,10.45681701,16.56172953
1B,7,0.947971553,2.855032842,6.365453425,11.23785165,17.47222753
1B,8,1.284819785,3.392497369,7.11050008,12.16152869,18.54558318
1B,9,1.625826218,3.905089579,7.801606452,13.00235312,19.50732958
1B,10,2.006887376,4.453731041,8.524756603,13.87121586,20.49310882
1B,11,2.428003257,5.038421754,9.279950533,14.76811691,21.50292088
1B,12,2.889173862,5.659161719,10.06718824,15.69305626,22.53676578
1B,13,3.453951907,6.40006609,10.99114732,16.77127396,23.74044599
1B,14,3.860643406,6.920631209,11.63079171,17.50836163,24.55334096
1B,15,4.436998407,7.64503713,12.51017694,18.51393006,25.6562965
1B,16,5.053408131,8.405492302,13.42160594,19.5475368,26.78328487
1B,17,5.713529877,9.206400112,14.37026565,20.61499666,27.94059312
1B,18,6.410265561,10.03914865,15.34595543,21.70483157,29.11577707
1B,19,7.239276047,11.01786222,16.48130046,22.96801197,30.47799674
1B,20,8.021100956,11.92719105,17.52506161,24.11740934,31.70423423
1B,21,8.842980588,12.87256914,18.60086654,25.29484501,32.95450454
1B,22,9.704914945,13.85399648,19.70871526,26.50031899,34.2288077
1B,23,10.3788841,14.61511149,20.56218177,27.42450102,35.20206926
1B,24,11.42684909,15.79088412,21.87269041,28.84094958,36.69566164
1B,25,12.40396785,16.87597742,23.07268664,30.12705264,38.03907543
1B,26,13.42114132,17.99711996,24.30472664,31.44119401,39.40652205
1B,27,14.2117496,18.86321018,25.25150445,32.44702342,40.44976708
1B,28,15.30505923,20.05398709,26.54671448,33.8177148,41.86698807
1B,29,16.86939955,21.74733814,28.37776483,35.7503526,43.86510144
1B,30,18.05231298,23.01764665,29.7423968,37.18051193,45.33199203
2B,0,0,1.755502875,8.180643398,19.27542157,35.03983739
2B,4,0.112329362,2.707842645,9.99894693,21.85182023,38.26646255
2B,5,0.210449685,3.106348293,10.70828666,22.82856641,39.46718755
2B,6,0.270207003,3.313560831,11.06812261,23.31954545,40.06782935
2B,8,0.413714096,3.752914573,11.81377176,24.32806237,41.2957864
2B,10,0.68481465,4.46053338,12.97352577,25.87504363,43.16508694
